,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
1,1,-2765.134685,0.087869011,0.110252486,0.232510965,510.7843511,9637.758339,1.035206504,0.199083032,na,0.1,1000,0.5,neugammalet,10
2,2,-2764.817004,0,0.101986343,0.180958171,742.0315166,9637.758339,1.035206504,0.199083032,na,0.1,1000,0.5,gammalet,10
3,3,-2815.143547,0.050312016,0,0.192051269,1643.154723,9637.758339,1.035206504,0.199083032,na,0.1,1000,0.5,neugamma,10
4,4,-2811.58549,na,na,0.168207183,2059.311977,9637.758339,1.035206504,0.199083032,na,0.1,1000,0.5,gamma,10
5,5,-2751.779778,0.078460747,0.095986331,0.237178615,499.612096,9766.058909,1.436060402,0.000100982,na,0.1,1000,0.5,neugammalet,9
6,6,-2752.296636,0,0.086720112,0.189402279,694.5424969,9766.058909,1.436060402,0.000100982,na,0.1,1000,0.5,gammalet,9
7,7,-2790.3943,0.044520467,0,0.203128276,1233.779407,9766.058909,1.436060402,0.000100982,na,0.1,1000,0.5,neugamma,9
8,8,-2789.595359,na,na,0.181106199,1455.684478,9766.058909,1.436060402,0.000100982,na,0.1,1000,0.5,gamma,9
9,9,-2765.90741,0.084504079,0.134786231,0.248517325,363.2077546,9809.14292,1.774936116,0.000100311,na,0.1,1000,0.5,neugammalet,8
10,10,-2766.477424,0,0.125455848,0.194814174,503.4622458,9809.14292,1.774936116,0.000100311,na,0.1,1000,0.5,gammalet,8
11,11,-2845.552474,0.042825535,0,0.202882404,1271.546606,9809.14292,1.774936116,0.000100311,na,0.1,1000,0.5,neugamma,8
12,12,-2843.847407,na,na,0.181444028,1512.029869,9809.14292,1.774936116,0.000100311,na,0.1,1000,0.5,gamma,8
13,13,-2754.751105,0.05338266,0.096985442,0.207992431,602.1322447,9515.49862,1.060148554,0.394847476,na,0.1,1000,0.5,neugammalet,7
