"","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","fit","rep"
"1",-5021.09532685618,0,0.5,0.363017941156515,5.23676140501369,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.5",10
"2",-4632.18652626809,0,0.48,0.334566255667877,7.26819398190201,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.48",10
"3",-4300.87549348646,0,0.46,0.31101197982768,9.98834058486485,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.46",10
"4",-4019.73608578433,0,0.44,0.292601759238845,13.4791497845763,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.44",10
"5",-3782.28261919716,0,0.42,0.277592463847744,17.947977603914,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.42",10
"6",-3582.81561506125,0,0.4,0.265122008348513,23.6222491250568,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.4",10
"7",-3416.30375013447,0,0.38,0.254565412352736,30.7821431619771,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.38",10
"8",-3278.28871349062,0,0.36,0.245570137557988,39.7105201518665,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.36",10
"9",-3164.809498044,0,0.34,0.237648386141537,50.9665523529326,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.34",10
"10",-3072.34803225371,0,0.32,0.230426921625969,65.0497244769904,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.32",10
"11",-2997.76563570065,0,0.3,0.224158328980159,82.3429040242905,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.3",10
"12",-2938.28532286924,0,0.28,0.218277053662816,104.155902388493,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.28",10
"13",-2891.44638836657,0,0.26,0.212981745954388,130.954829922041,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.26",10
"14",-2855.08551168287,0,0.24,0.208098566851924,164.046534437753,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.24",10
