"","X","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","dist","rep"
"1",1,-2716.39031305606,"0.0637231002142119","0.131249987683192",0.225833979798313,452.142840993482,9560.8687181075,1.06285517482611,0.00553659069894029,"na",0.1,1000,0.5,"neugammalet",10
"2",2,-2714.01833036417,"0","0.11929976805227",0.189807463707548,595.05217696101,9560.8687181075,1.06285517482611,0.00553659069894029,"na",0.1,1000,0.5,"gammalet",10
"3",3,-2778.89844031695,"0.00703791671600402","0",0.17524228683082,1939.43627690552,9560.8687181075,1.06285517482611,0.00553659069894029,"na",0.1,1000,0.5,"neugamma",10
"4",4,-2777.95842513382,"na","na",0.173388719973028,1945.58484856939,9560.8687181075,1.06285517482611,0.00553659069894029,"na",0.1,1000,0.5,"gamma",10
"5",5,-2761.48215472698,"0.0933364965969658","0.144549363419167",0.253258346926084,322.177295882653,9808.91240837703,1.37748210117025,0.000373283142176419,"na",0.1,1000,0.5,"neugammalet",9
"6",6,-2761.22398162137,"0","0.134679947162703",0.193138796190597,462.671530346327,9808.91240837703,1.37748210117025,0.000373283142176419,"na",0.1,1000,0.5,"gammalet",9
"7",7,-2853.27760357078,"0.0551838411670202","0",0.205636585336477,1259.43571729104,9808.91240837703,1.37748210117025,0.000373283142176419,"na",0.1,1000,0.5,"neugamma",9
"8",8,-2850.25986846985,"na","na",0.177651864413438,1575.77692613736,9808.91240837703,1.37748210117025,0.000373283142176419,"na",0.1,1000,0.5,"gamma",9
"9",9,-2768.26976909288,"0.0323946466352012","0.0568688658706841",0.193273306201452,1069.86076701989,9790.68334294676,1.05548724480974,0.00579962210961924,"na",0.1,1000,0.5,"neugammalet",8
"10",10,-2753.0031198833,"0","0.104546237014273",0.190253380883381,650.016532111205,9790.68334294676,1.05548724480974,0.00579962210961924,"na",0.1,1000,0.5,"gammalet",8
"11",11,-2802.8683046643,"0.00120018400129691","0",0.176691567902518,1776.98560382416,9790.68334294676,1.05548724480974,0.00579962210961924,"na",0.1,1000,0.5,"neugamma",8
"12",12,-2802.66404624062,"na","na",0.17702254477821,1753.97068939312,9790.68334294676,1.05548724480974,0.00579962210961924,"na",0.1,1000,0.5,"gamma",8
"13",13,-2804.53316802209,"0.0230312173180615","0.0980273452072116",0.201921294971112,594.422726884217,9752.56367772599,1.01961562642842,0.292098283361997,"na",0.1,1000,0.5,"neugammalet",7
"14",14,-2804.44339455916,"0","0.0955035856001352",0.189975903003267,649.276575124431,9752.56367772599,1.01961562642842,0.292098283361997,"na",0.1,1000,0.5,"gammalet",7
"15",15,-2848.59197396607,"0.0242881916845727","0",0.190495877829503,1395.81645452452,9752.56367772599,1.01961562642842,0.292098283361997,"na",0.1,1000,0.5,"neugamma",7
