"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","prop","h_co","type"
"1",0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.10","0.5","lethal"
"2",0,10945.8,4653.9,2804.4,1998.6,1543.2,1235,1033,880.1,759.8,680.6,596.7,539.3,488,456.1,414.5,391.7,354.4,331.7,312.9,297.6,282.8,270.3,251.6,240.6,230.7,226,201,200.2,190.3,185.2,179.3,175.1,162.9,161.9,166.1,152.2,147.4,140.5,141.7,136.4,129.6,122.2,125.3,119,118.9,108.7,106.3,109.6,107.2,105.8,101.7,95.9,94.8,97.8,92.4,86.3,89.5,88.7,86.4,82.4,79.2,80.6,73.8,78.1,76.8,70,69.6,70.3,69,67.8,68.7,62.8,62,62.7,60.8,64.8,55.6,64,63.6,61.3,55.1,62,55.9,51.6,55.5,56.2,53.8,53.7,49.9,50,47.1,48.3,53,48,49.9,45,47.3,48.9,46.6,48,0,"0.10","0.5","nonsyn"
"3",0,7835.1,3923.1,2602.3,1964.7,1562.5,1285.4,1118.7,977.6,846,761.4,692.8,656.2,586.4,559.3,517.2,484.1,447.3,428.7,403,378.8,378,355.3,332.4,322.2,306.3,294.7,288.9,274.7,264.4,256.1,235,239.9,222.4,225.2,216.4,219.4,213.6,203.5,192,199.1,180.6,194,182.3,169.4,169,170.8,170.4,153.1,152.2,153,154,152.6,146.6,143.1,133.5,133,134.7,132.2,137.4,123.6,124.6,126.9,126,124.8,121.1,115.4,106,113.7,114.3,101.1,106.1,101.7,110.8,103.1,107.3,102.2,102.8,92.4,95.5,91,95.8,89.5,92.3,95.2,91.2,85,85.9,88.9,89,85,86.7,85.6,86.4,77.7,84.8,80.8,79.5,74.6,79.5,78.4,0,"0.10","0.5","syn"
"4",0,821.8,133.2,25.1,4.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.10","0.0","lethal"
"5",0,11830.5,4809.8,2844.1,2019.9,1553.1,1246.8,1048.5,868.1,774.7,666.7,591.2,544.9,499.2,456.7,422.6,383.1,357.7,327.5,320.9,299.4,284.2,269.2,265.5,239.7,232.4,217,206.8,198.9,187.8,187.3,170.6,168,163.1,165.9,162.2,147.6,150.7,142.7,146.3,130.5,129.8,121.1,128.8,115.4,122.4,111.3,109,109.7,106.1,108.8,98.2,98.8,98.3,91.6,92.3,87.2,84.8,88.3,83.5,81.2,80.3,78.7,82.5,76.3,72.3,75.1,68.7,78.5,70.6,68.2,70.8,65.6,65.9,66.7,65.2,65.1,62.9,60.8,62.2,54.8,57.7,58.1,54.4,56.5,57.3,54.1,55.3,52.5,51.4,50.6,53.9,49.5,52.8,50,54.7,45.9,48.3,46.1,46.2,46.1,0,"0.10","0.0","nonsyn"
"6",0,7901.7,3956.3,2599.8,1971.2,1591.9,1302,1101.1,968.5,861.7,788.3,705.4,654.9,602.3,559.1,523,495.9,447.2,429.5,398.5,380.1,370.4,352.7,331,332.8,295.8,292.4,289,274.7,261.1,257.2,241.1,240.6,238.8,225.9,221.7,202.7,205.4,199.4,203.4,197.6,175.2,187.7,181.9,177.1,174.5,170.2,169.4,168.7,161.6,150.4,152.9,143.8,155.2,145.4,142.4,145,138.6,135.7,126.2,124.4,127.6,127.6,119,118.3,123.6,115.6,111.9,112.8,111.9,108.8,106.2,103.6,101,110.4,103,103.7,95.4,102,97,96.6,97.1,91.8,97.6,94.5,87.9,92.1,94.6,84.6,89.6,85.1,83.8,87.9,85.3,75.8,80.4,79.5,79.3,80.6,78,80.9,0,"0.10","0.0","syn"
"7",0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.05","0.5","lethal"
"8",0,11581.3,4939,2992.1,2113.3,1619.4,1303.1,1081.5,925.5,792.8,712.3,646.7,560,506.6,474.3,444,412.7,394.1,363.3,339,311.5,293.7,279.2,269.1,254.4,246.3,237.5,228.7,209.6,202.1,193.4,186.8,176.1,178.7,160.9,170.7,160,159.7,146.2,149.8,139.6,139.2,129,125.3,129,122.2,121.1,114.2,110.9,116.9,106.3,103.1,105.7,103.3,100.4,101.5,96.8,86.7,91.2,92.6,91.1,88.5,82.5,78.9,83.5,81.7,76.2,75.6,76.5,68.3,72,74.1,73.3,70.6,64.7,66.5,61.6,65.4,63.2,66.4,60.2,61.8,61,64.6,55.6,58.5,56.5,60.7,55.4,55.5,56.2,51.2,52.6,52.3,49.7,51.5,55.7,49.3,51.5,50.2,51.4,0,"0.05","0.5","nonsyn"
"9",0,7867.2,3939.3,2646.6,1958,1572.8,1311,1101,973.8,850.1,766.8,699,653.7,601.8,557.5,515,484.8,446.1,446.8,397.3,388.3,370.4,344.5,315.9,317.8,311.9,301.8,288.4,279.8,254.8,259.8,247.8,240.8,240.2,224.7,214,210.1,208.6,202,193.8,202.4,194.2,183.5,184.7,180,171.7,165.2,165.8,154.3,155.7,155.3,150.8,146.3,139.8,141.1,136.9,137.3,130.3,136.2,129,126.9,125.7,126,124.4,118.2,115.7,110.1,120.6,118.1,107.9,105.3,108.6,98,105.5,104.7,98.4,98.3,98.6,96.2,95.3,96.7,98.2,89.5,89.5,92.8,93.9,91.6,93.7,86.7,86.2,91.4,82.9,86.2,85.3,83.8,83.2,77.8,82.9,81.3,82.4,77.5,0,"0.05","0.5","syn"
"10",0,396.3,68.3,11.7,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.05","0.0","lethal"
"11",0,12000.3,4972.1,2988.5,2092.1,1613.7,1314,1096.7,923,828,706.8,629.1,584.5,519.3,492.6,432.6,407,377.6,362.5,331.3,326.1,290.5,291.5,267.3,255.4,241.6,229.3,218.6,209.2,200.8,191.3,196.4,179.5,181,170.1,160.6,154.4,155.2,150.1,145.4,140.1,136.7,135,136.5,130.3,122,114.8,117.4,113.6,111.7,110,104.4,106.2,100.1,98.1,95.8,97.7,92.7,91,90.5,89.7,82.9,84.3,81.1,87.2,81.2,75.6,75.5,69.3,73.3,67.6,67,69.6,68.1,68,68.7,68.1,69.5,65.2,65.9,67.1,63,62.4,64.1,57.7,56.3,60.2,55.5,56.3,59.3,53.6,58.7,54.8,55.2,54.1,48.3,52.8,53.7,50.3,53.3,51.2,0,"0.05","0.0","nonsyn"
"12",0,7902.2,3958.5,2613.9,1956.7,1567.5,1292.6,1134.2,988.8,860.8,778,702.6,645.3,599.9,552.9,511.9,490.5,457.5,435.3,420.1,377.2,369.5,356.2,342.7,325,310.4,289.6,279.4,275.2,275.6,263.5,251.9,244,228,218.4,218.2,208.4,205.1,199.8,196.2,193.4,188.6,178,192.4,170.7,176.2,166.3,165.3,157.7,156.6,153.6,145.4,148.8,141.7,148.5,140.2,139.7,137.5,132.5,131.9,132.7,127.1,120.7,122.4,124.8,118,115.5,113.5,108.7,112.5,106.2,108.5,104.7,115.2,103.7,101.8,97.6,98.9,98.6,102.3,95.8,88.7,99.2,93.8,86.1,90.8,87.4,92.6,86.3,87.9,87.3,85.3,79.4,85.8,78,74.9,82.2,76.4,83.6,74.2,76.1,0,"0.05","0.0","syn"
"13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.01","0.5","lethal"
"14",0,12081.6,5138.2,3140.3,2193.3,1714.5,1351.4,1122.9,1000.2,837.3,745.8,664.1,583.3,545,492.7,452.2,419,396.5,379.8,346.5,329.4,314.7,296.8,275.5,269.4,254.1,239.2,229.3,230.4,215.6,202.7,194.7,191.3,178.8,177,173.5,166.8,168.9,154.1,148.4,148.8,145.3,143.6,140.3,133.8,132.3,121.5,118.6,123.6,113.4,113,110.3,108.1,107.2,110.4,97.4,101.1,95.2,98.7,93.3,88.4,88.1,88.2,86,82.1,80.8,77.7,76.6,82,86.1,77.7,75.1,71.2,73.8,72.1,64.2,72.8,64.5,68.7,68,63.2,66.8,64.5,65.4,60.9,57.9,56.8,62.3,55.7,60.3,53.8,54.1,63.4,57.3,51.7,50.5,54.3,53.6,55.1,49.8,49.6,0,"0.01","0.5","nonsyn"
"15",0,7918.7,3939.9,2582.8,1962.1,1579.6,1312.2,1122.5,971.1,864.4,785.2,719.5,652.7,604.9,559.1,510.7,475.9,466.2,435.2,406,386.8,371,349,345.6,314.5,318.5,298.8,280.5,272.5,262.2,259.6,256,238.6,233.7,228.7,213.1,211.3,202,200.7,197,194.6,193.3,180.2,177.8,174.3,175.8,170.3,152.9,164.4,155.4,145.1,153.4,150.9,141.4,136.7,143.3,135.3,136.2,127.8,126.8,127.3,126.6,122.8,117.3,117.7,121.8,113.4,110.6,114.7,110,115.3,110.1,103.9,101.9,101.9,101.1,96.3,100.8,97.6,96.9,98.1,96.9,95.7,89,88,87.2,87.4,82.8,85.6,87.8,85.5,80.9,84.9,80.5,81.6,77,80.8,87.4,71.5,80.7,77.4,0,"0.01","0.5","syn"
"16",0,79.9,12.6,2.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.01","0.0","lethal"
"17",0,12100.9,5133.8,3119,2220.7,1694.1,1374.3,1131.7,978.1,847.2,726.1,667.3,603.6,538.3,500.8,456.9,429.4,388.8,367.8,354.1,333.9,311.3,288.8,278.3,281.3,261.3,235.7,239,221.9,206.2,206.3,191.5,187.9,178.5,179.2,173.1,165.6,157.1,153.3,150.3,142.2,135.4,131,134.9,135.3,128.5,126.2,118,114.9,117.1,113.9,109.8,108.2,106.7,109.2,102.2,99.3,100.6,89.3,88.9,92.4,88.2,90.5,88.7,85.3,83.2,78.5,79.9,76,76.8,79.9,73.4,69.8,74.4,72.7,76.8,67.4,68.2,68.6,69.8,61.4,65.9,67.3,61.8,66.5,65.7,59.4,56,57.4,55.9,58.9,56.2,56.9,52.6,51.8,58.2,52.2,51.6,54.8,50.6,52.7,0,"0.01","0.0","nonsyn"
"18",0,7918.1,3950.5,2596.7,1967.9,1567.9,1292.5,1125.1,966,867.4,788,693.4,653.5,596.2,562.5,532.7,487.8,464.1,430.1,397.9,380.1,368.4,336.9,335.7,319,298.4,293.4,280.4,273.6,263.1,251.5,251.7,241.6,231.3,220.7,221,217.5,201,204.6,198.6,200.5,188,179.4,183.8,176.4,171.5,161.6,169.6,162.1,161.8,156.4,149.2,147.9,149.1,143.5,138.3,133.2,137,133.3,130.9,127.8,127.5,123.8,123.1,120,119.9,113.7,117,110,109.7,113.6,105.1,104.9,100,100.9,109,101.6,98.8,99.8,99.8,97,101.5,98.3,94.5,90.3,89.6,92.9,85.3,88.8,92.3,86.5,88.2,81.2,79.2,86.5,82.1,82.1,80.3,81.7,80.6,68.4,0,"0.01","0.0","syn"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.5","lethal"
"20",0,12174.5,5180.4,3151,2238.7,1714.2,1379.5,1137.6,967.7,850.6,732.9,684.5,596.6,552,491.4,468.6,417.3,396.7,378.7,340.3,335.6,309.9,297.8,283.3,263.2,259.2,245.1,226.3,224.8,215.1,202.5,203.3,185.1,184.4,173.1,173.1,168,163.2,158.6,154.6,142.2,144.1,138.7,133.4,130.7,129.3,132,129.7,117.6,113.9,113.7,114.3,110.8,100.6,102.2,100.4,98.9,97.8,96.5,94.1,91.8,92.6,86.7,90.6,88.5,88.1,85.4,80.9,86,80.9,81.5,71.5,72.5,73.2,72.8,73.2,68.5,68.5,69.2,65.4,68.8,65.7,65.6,64.1,57.6,61.9,58.2,59.5,63.8,58.2,57,61.2,59.7,52.9,52.2,51.7,55,52.8,51,57.1,50.1,0,"0.00","0.5","nonsyn"
"21",0,7884,3930.8,2592.9,1956.6,1534.5,1313.4,1108.5,959.9,871,786.9,701.9,660.6,609.4,555.3,506.8,481,457.2,430.2,420.9,379.4,356.2,354,342.2,317.2,309.1,300.9,281.9,280.5,262.6,245.2,245.6,241.4,230.5,228.9,223.2,215.4,201.7,203.2,200.9,195.4,189.9,184.5,179.5,171.5,172.8,167.5,168.2,157.5,161.9,152.4,150.4,146.2,132.7,150.1,132.6,145.3,140.7,139.9,127.1,127.7,126.4,123.7,124.3,121.6,114.1,119.8,114.3,115.9,112,105.9,106.6,110.7,107.9,103.9,104.2,98.8,103.5,101,93,91.3,91.2,93,91.6,84.5,91.5,89,89.7,87.7,83.9,87.4,78.5,87.1,81.1,82.7,79.4,79.5,84.8,80.8,82.6,78.7,0,"0.00","0.5","syn"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.0","lethal"
"23",0,12120.4,5173.7,3157.9,2241.3,1711.7,1359.6,1145.3,980.9,849.8,755.2,672.6,603.9,553.9,494.7,465.9,435.9,410.1,375.9,343.3,326.6,311.9,301.8,277,270.6,247.9,251.5,235.8,218.6,216.1,205.2,194.6,190.9,188.6,176.4,179.4,171,166,151.2,146.9,153.1,149.2,140.7,136,130.6,129.1,126.8,123.3,118.3,117.6,107.6,101.9,114.3,102,106.2,100.9,96.8,94.1,91.6,90.8,94,88.7,92.4,84.5,91.3,86.4,80.4,81.6,79.1,74.7,76.3,80.4,77.6,69.1,76.3,71.9,69,71.1,69.5,72.2,65.6,62.6,61.2,61,63.6,63,59.8,58,62,56.4,56.7,58,59.3,57.3,55.2,52.9,56.6,55,48.8,53,47.7,0,"0.00","0.0","nonsyn"
"24",0,7895.8,3897.8,2590.3,1942.5,1552,1306.2,1123.3,1002.2,871.7,787,719.6,639.3,602.1,552.6,514.2,475,456.3,428.9,403.5,388,369.9,347,343.2,328.6,312.7,294.2,284.1,269,255.6,251.9,241.5,247.5,237.6,230.9,217.1,220.3,209.5,205.4,200.2,194.6,192,183.8,179.6,171.8,165,167.7,164.9,155.6,152,149.8,152.8,141.2,144.8,144.3,138.4,144.4,136.1,139.6,131.6,132.5,131.5,121.5,119.7,120.5,118.8,125.2,121.6,111.8,113.1,111.8,111.4,108.5,98.6,109.3,103.5,103.3,97.9,98.1,99.8,93.5,93.4,90.8,87,89.2,90.6,89.4,85.2,88.8,91.5,81.1,90.1,83.8,81.4,82.6,80.7,81.8,76.8,87.7,81,80.9,0,"0.00","0.0","syn"
