"","h_co","ss","level","dist","alpha_mean","alpha_sd","alpha_range","beta_mean","beta_sd","beta_range","log_mean","log_sd","aic_mean","pneu_mean","pneu_sd","plet_mean","plet_sd"
"1","0.5","1000","0.1","neugammalet",0.2145037376455,0.0190231754063725,0.060979087422448,581.439924478549,180.711788618529,747.683471137237,-2756.4701547341,23.6272729159764,5520.94030946819,0.0516891201810223,0.0282202241881272,0.105559749151493,0.0244513266871215
"2","0.5","1000","0.1","gammalet",0.187101117327939,0.00595749076906414,0.018439398525229,639.097385378934,110.770421702214,415.939936462014,-2754.48946579562,24.2008220448661,5514.97893159124,NA,NA,0.107450099155036,0.0155442466173568
"3","0.5","1000","0.1","neugamma",0.187604400210456,0.0142287232767614,0.048876758092579,1615.74478825468,369.576741846708,1294.76039677662,-2810.25423829743,27.8813088453302,5626.50847659486,0.0298265704538723,0.0230857862705429,NA,NA
"4","0.5","1000","0.1","gamma",0.1735902776769,0.00667373601888007,0.022901387153185,1813.54550026696,371.6218897554,1387.83609434668,-2808.35106962392,27.5288130217447,5620.70213924785,NA,NA,NA,NA
"5","0","1000","0.1","neugammalet",0.320487274604942,0.0874176688817558,0.236011992574512,390.03335287946,147.509952604659,447.921944411048,-2775.60587344071,26.0786896458732,5559.21174688143,0.113872483599936,0.0799368863024051,0.0116144299078068,0.00945946631572561
"6","0","1000","0.1","gammalet",0.21201162084666,0.00562130725887559,0.020456990071077,615.500816653189,57.8676417641995,235.973909442385,-2786.79678837054,26.9865329203648,5579.59357674109,NA,NA,0.0018556971927057,0.00164859380348833
"7","0","1000","0.1","neugamma",0.340229400748644,0.0610874928962985,0.205583514530846,365.47126224209,93.6460732736249,314.383007529853,-2771.4327432957,21.3947376101655,5548.86548659141,0.144912291804076,0.0452850448508765,NA,NA
"8","0","1000","0.1","gamma",0.21190950365858,0.00539495686183365,0.020396100116816,621.492253007232,58.4367156982598,236.16242830028,-2786.54842647812,26.8217749119764,5577.09685295624,NA,NA,NA,NA
"9","0.5","100","0.1","neugammalet",0.216959383966003,0.0273677918824121,0.093983756216667,1019.17711003698,635.557678728028,3046.28247760646,-391.967260305462,7.56032115122814,791.934520610923,0.0571119663443005,0.0373719620327662,0.0525210411852246,0.0719143125082672
"10","0.5","100","0.1","gammalet",0.189425502563465,0.00763027220263665,0.026001590115657,783.020343339959,977.548106233651,4529.99914316865,-390.397318869914,7.75601751434461,786.794637739828,NA,NA,0.132628553565301,0.0648076264570491
"11","0.5","100","0.1","neugamma",0.203851202612019,0.0189929824485206,0.079126640225138,1486.23789955722,960.173548479931,4780.94353933851,-392.417178297913,7.899339535939,790.834356595827,0.0464048027720815,0.0249752279107829,NA,NA
